iucn_2021_binomial,Species,China_Red_List,IUCN_Red_List,Body_size_mm,Clutch_size_n,Trophic_level,Habitat_specificity,Geographic_range_size_km2,Dispersal_ratio_dp,Nest_type,Nest_site,Flocking_tendency,Migrant_status,Hunting_vulnerability
Nycticorax_caledonicus,Nycticorax_caledonicus,0,0,600,3.5,6,2,3.61,30.09,1,1,0,0,0
Oroanassa_magnifica,Gorsachius_magnificus,3,3,571.5,1.5,6,1,193.61,32.1,1,1,1,2,1
Gorsachius_melanolophus,Gorsachius_melanolophus,1,0,237.5,2.5,6,2,69.92,17.86,1,1,0,1,0
Ixobrychus_minutus,Ixobrychus_minutus,1,0,325,6.5,6,5,166,18.66,1,5,0,2,0
Ixobrychus_sinensis,Ixobrychus_sinensis,0,0,331.5,7,6,1,606.69,18.91,1,4,0,1,0
Ixobrychus_eurhythmus,Ixobrychus_eurhythmus,0,0,335.5,2,6,3,623.35,17.68,1,5,0,1,0
Ixobrychus_cinnamomeus,Ixobrychus_cinnamomeus,0,0,329.5,2.5,6,6,360.9,17.59,1,5,0,2,0
Ixobrychus_flavicollis,Ixobrychus_flavicollis,0,0,523.75,5,6,6,311.87,31.71,1,3,0,2,0
Botaurus_stellaris,Botaurus_stellaris,0,0,676.75,5,6,7,771.69,31.6,1,5,0,2,1
Anastomus_oscitans,Anastomus_oscitans,0,0,810,3,6,11,80.19,31.12,1,1,0,2,1
Ciconia_nigra,Ciconia_nigra,1,0,1079.5,2.5,6,5,821.36,20.29,1,1,1,2,1
Ciconia_ciconia,Ciconia_ciconia,5,0,1075,2,6,6,166,39.78,1,5,1,2,2
Ciconia_boyciana,Ciconia_boyciana,3,3,1197.15,2.5,6,11,503.56,38.95,1,1,1,2,2
Threskiornis_melanocephalus,Threskiornis_melanocephalus,2,1,700,3,1,8,255.72,31.12,1,1,1,2,2
Nipponia_nippon,Nipponia_nippon,3,3,731.75,3,6,8,10.58,33.68,1,1,2,1,2
Platalea_leucorodia,Platalea_leucorodia,1,0,818,3.5,6,2,961.58,19.96,1,5,2,2,0
Platalea_minor,Platalea_minor,3,3,690,5,6,11,187.71,19.07,1,1,1,2,2
Dendrocygna_javanica,Dendrocygna_javanica,1,0,391,10,1,7,110.57,12.6,1,5,1,2,2
Cygnus_olor,Cygnus_olor,1,0,1239,5.5,1,6,571.99,18.57,1,5,1,2,2
