Species,Adult_survival,Age_at_first_reproduction,Maximum_longevity
Poliocephalus_poliocephalus,0.77,1.93,14.81
Poliocephalus_rufopectus,0.8,1.99,14.93
Podiceps_major,0.81,2.5,15.91
Podiceps_grisegena,0.81,2.04,15.51
Podiceps_cristatus,0.77,2.13,14.03
Podiceps_auritus,0.73,1.87,13.04
Podiceps_nigricollis,0.79,1.88,11.84
Podiceps_andinus,0.78,1.99,10.29
Podiceps_juninensis,0.78,2,12.13
Podiceps_occipitalis,0.77,1.76,10.79
Podiceps_taczanowskii,0.78,2.01,11.01
Podiceps_gallardoi,0.85,2.25,14.04
Aechmophorus_occidentalis,0.78,1.58,17.7
Aechmophorus_clarkii,0.78,1.57,17.35
Phoenicopterus_roseus,0.92,3.45,34.05
Phoenicopterus_ruber,0.92,3.45,35.32
Phoenicopterus_chilensis,0.92,3.33,32.32
Phoeniconaias_minor,0.9,3.07,33.35
Phoenicoparrus_andinus,0.9,3.2,30.84
Phoenicoparrus_jamesi,0.87,2.68,25.99
Phaethon_aethereus,0.87,3.91,23.05
Phaethon_rubricauda,0.86,3.83,22.92
Phaethon_lepturus,0.84,3.32,19.18
Rhynochetos_jubatus,0.86,2.25,22.39
Eurypyga_helias,0.77,2.11,14.4
Mesitornis_variegatus,0.77,1.77,12.17
Mesitornis_unicolor,0.8,2.02,13.52
Monias_benschi,0.8,1.91,13.2
Columba_livia,0.68,1.09,16.88
Columba_rupestris,0.65,1.01,16.39
Columba_leuconota,0.63,1.04,16.18
Columba_guinea,0.68,1.08,14.91
Columba_albitorques,0.66,1.03,14.71
